Room Number,Name,VIP,Arrival,Nights,Adults/Children,Room Type,Rate Plan,Travel Agent,Market,Preferences,Owner
,,,,,,,,,,,
,,,,,,,,650.93EUR,,,
,"Pinto, Davi, Mr ",,30/12/2025 09:30,1,2/0,TWSP,BAR00,Tesla,CORG,,
,,,,,,,,,,,
,29056,,31/12/2025 18:30,RS,,TWSP,867.90EUR,,OTH,,
,,,,,,,,,,,
,5007234,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,867.90EUR,,,
,"Santos, Guilherme, Mr ",,30/12/2025 18:30,10,2/0,KGSP,CORL25,Adidas GmbH,CORL,,
,,,,,,,,,,,
,29927,,09/01/2026 13:30,RS,,KGSP,679.00EUR,,GDS,"CRE25, DRI",
,,,,,,,,,,PVIEW,
,5008140,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"6,790.00EUR",,,
,"Shervashidze, Kaypa, Mrs ",,30/12/2025 05:00,10,2/0,TWSP,OPQ,Mercedes Benz,CORL,,
,,,,,,,,,,,
,29851,,09/01/2026 16:45,RS,,TWSP,490.00EUR,,HOT,BFC,
,,,,,,,,,,,
,5008164,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"4,900.00EUR",,,
,"Shishani, Khadimat, Ms ",,30/12/2025 11:30,7,1/0,KGDX,BAR10,,CORN,,
,,,,,,,,,,,
,29501,,06/01/2026 09:15,RS,,KGDX,631.20EUR,,SIT,BFE,
,,,,,,,,,,,
,5007644,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"4,738.40EUR",,,
,"Siciliani, Angelina, Ms ",,30/12/2025 10:45,6,1/0,TWDX,BAR10,Tesla,CORG,,
,,,,,,,,,,,
,29012,,05/01/2026 16:30,RS,,TWDX,631.20EUR,,SYN,BFE,
,,,,,,,,,,,
,5007560,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,107.20EUR",,,
,"Timayev, Kesira, Ms ",,30/12/2025 19:45,9,2/0,TWDX,OPQ,,PRMF,,
,,,,,,,,,,,
,28413,,08/01/2026 14:30,RS,,TWDX,490.00EUR,,SIT,BFC,
,,,,,,,,,,,
,5007007,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,410.00EUR",,,
,"Tucker, Rosie, Ms ",,30/12/2025 11:30,7,1/0,KGSP,CORL25,CNN News Group,CORL,,TM
,,,,,,,,,,,
,28631,,06/01/2026 10:45,RS,,KGSP,679.00EUR,,GDS,"CRE25, DRI",
,,,,,,,,,,LF,
,5007041,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,753.00EUR",,,
,"Vizirov, Zakiya, Mrs ",,30/12/2025 20:45,8,1/0,TCDX,BAREX,,CORL,,
,,,,,,,,,,,
,28747,,07/01/2026 07:15,RS,,TCDX,895.00EUR,,CRO,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007490,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"6,770.00EUR",,,
,"Wight, Abigail, Ms ",,30/12/2025 17:15,7,2/0,KGDX,BARAD,,CORG,SOFL,
,,,,,,,,,,,
,28651,,06/01/2026 21:45,RS,,KGDX,650.93EUR,,SIT,,
,,,,,,,,,,,
,5006737,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,560.61EUR",,,
,"Zetticci, Diego, Mr ",,30/12/2025 12:45,5,2/0,KCST,BAREX,,FIT1,,
,,,,,,,,,,,
,29699,,04/01/2026 11:30,RS,,KCST,"1,335.00EUR",,IBE,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008087,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"6,360.00EUR",,,
,"Adamczyk, Irenka, Ms ",,31/12/2025 07:30,1,2/0,KGSP,RACK,Mercedes Benz,CORG,"NSMK,PVIEW",
,,,,,,,,,,,
,29579,,01/01/2026 10:15,RS,,KGSP,977.90EUR,,CRO,,
,,,,,,,,,,,
,5007850,REWARDS | BLUE,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,765031A,,,,,,977.90EUR,,,
,"Almeida, Leila, Ms ",REG,31/12/2025 13:30,5,2/0,KGSP,OTA1,,PRMF,,
,,,,,,,,,,,
,29281,,05/01/2026 15:00,RS,,KGSP,670.00EUR,,SYN,,
,,,,,,,,,,,
,5007891,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,690.00EUR",,,
,"Arnold, Charles, Mr ",,31/12/2025 13:00,4,1/0,KGSP,OTA1,,CORG,,
,,,,,,,,,,,
,30081,,04/01/2026 08:30,RS,,KGSP,670.00EUR,,IBE,,
,,,,,,,,,,,
,5008163,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,020.00EUR",,,
,"Bárðarson, Sölvi, Mr ",,31/12/2025 18:00,3,2/0,KGSP,DAY,,FIT1,SM,
,,,,,,,,,,,
,29326,,03/01/2026 15:30,RS,,KGSP,968.00EUR,,SIT,,
,,,,,,,,,,,
,5007862,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,728.00EUR",,,
,"Bisliev, Dzhamaldin, Mr ",,31/12/2025 15:15,5,2/0,KGDX,RACK,Deloitte,CORG,,TM
,,,,,,,,,,,
,28552,,05/01/2026 17:30,RS,,KGDX,977.90EUR,,HOT,,
,,,,,,,,,,,
,5006722,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,533.90EUR",,,
,"Blanchard, Emmanuel, Mr ",,31/12/2025 08:15,6,2/0,TWDX,BAR10,Saudi Aramco,CORN,,
,,,,,,,,,,,
,28525,,06/01/2026 08:00,RS,,TWDX,631.20EUR,,OTH,BFE,
,,,,,,,,,,SPAB,
,5006695,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,107.20EUR",,,
,"Blundstone, Ethan, Mr ",,31/12/2025 20:30,3,1/0,TWDX,RACK,Rolex AG,PRMF,GVIEW,
,,,,,,,,,,,
,29509,,03/01/2026 08:15,RS,,TWDX,977.90EUR,,CRO,,
,,,,,,,,,,,
,5008082,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,755.90EUR",,,
,"Bull, Kyle, Mr ",COR,31/12/2025 14:15,4,2/0,KCST,BAREX,,CORL,,
,,,,,,,,,,,
,29557,,04/01/2026 09:30,RS,,KCST,"1,335.00EUR",,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007626,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,025.00EUR",,,
,"Choy, Matthew, Mr ",,31/12/2025 18:30,1,2/0,KGST,DAY,,CORN,,
,,,,,,,,,,,
,26710,,01/01/2026 11:00,RS,,KGST,968.00EUR,,HOT,,
,,,,,,,,,,,
,5004752,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,968.00EUR,,,
,"Collin, Channing, Mr ",,31/12/2025 15:00,10,2/0,KCST,BAREX,,CORN,,
,,,,,,,,,,,
,29374,,10/01/2026 19:30,RS,,KCST,"1,335.00EUR",,CRS,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007756,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"12,405.00EUR",,,
,"Curmi, Nate, Mr ",,31/12/2025 17:00,1,1/0,KGDX,OPQ,Exxon Mobil,FIT1,,
,,,,,,,,,,,
,29863,,01/01/2026 07:00,RS,,KGDX,490.00EUR,,IBE,BFC,
,,,,,,,,,,FPLACE,
,5008195,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,490.00EUR,,,
,"Eldarkhanov, Musa, Mr ",,31/12/2025 16:15,3,2/0,KCST,BAREX,,CORL,,
,,,,,,,,,,,
,28628,,03/01/2026 11:15,RS,,KCST,"1,335.00EUR",,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006911,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,795.00EUR",,,
,"Fallaci, Gilda, Ms ",,31/12/2025 09:30,6,2/0,TCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,29433,,06/01/2026 06:00,RS,,TCDX,895.00EUR,,GDS,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008066,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"5,045.00EUR",,,
,"Fiorentino, Fosca, Ms ",,31/12/2025 19:30,1,1/0,KCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,29497,,01/01/2026 14:15,RS,,KCDX,873.00EUR,,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,DBL2,
,5007879,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,873.00EUR,,,
,"Frost, Nicole, Ms ",,31/12/2025 07:00,2,2/0,KGDX,BAR00,,PRMF,SAF,
,,,,,,,,,,,
,29532,,02/01/2026 18:15,RS,,KGDX,867.90EUR,,IBE,,
,,,,,,,,,,,
,5007983,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"1,656.90EUR",,,
,"Guérette, Royale, Ms ",,31/12/2025 06:45,7,2/0,KINGR,BAR00,,FIT1,,
,,,,,,,,,,,
,27855,,07/01/2026 11:45,RS,,KINGR,867.90EUR,,OTH,,
,,,,,,,,,,,
,5006289,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"6,001.90EUR",,,
,"Heinze, Michael, Mr ",COR,31/12/2025 20:15,5,1/0,KGDX,DAY,,CORN,"KING,PHY,JAC,SOLO,LXUP,FAML,NSMK,FTL,LOYL",
,,,,,,,,,,,
,28323,,05/01/2026 11:45,RS,,KGDX,438.90EUR,,CRO,,
,,,,,,,,,,,
,5006801,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"2,034.90EUR",,,
,"Hill, Kieran, Mr ",,31/12/2025 09:45,1,1/0,KGDX,BAR10,Austrian Airlines,CORL,,
,,,,,,,,,,,
,27850,,01/01/2026 17:30,RS,,KGDX,631.20EUR,,GDS,BFE,
,,,,,,,,,,,
,5006195,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,631.20EUR,,,
,"Houghton, Lucinda, Mrs ",,31/12/2025 06:15,10,1/0,KCDX,BAREX,,CORN,,
,,,,,,,,,,,
,29877,,10/01/2026 18:00,RS,,KCDX,873.00EUR,,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008297,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"8,163.00EUR",,,
,"Ingram, Tegan, Mrs ",,31/12/2025 10:45,1,2/0,KGDX,BAR10,Grupo Catalana Occidente,CORL,,
,,,,,,,,,,,
,28395,,01/01/2026 11:15,RS,,KGDX,631.20EUR,,OTH,BFE,
,,,,,,,,,,SEA,
,5006779,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,631.20EUR,,,
,"Jabłońska, Małgorzata, Mrs ",,31/12/2025 18:15,10,1/0,KINGR,OTA1,Grupo Catalana Occidente,PRMF,SEA,
,,,,,,,,,,,
,29525,,10/01/2026 15:45,RS,,KINGR,670.00EUR,,OTH,,
,,,,,,,,,,,
,5007652,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"7,210.00EUR",,,
,"Jasiński, Marceli, Mr ",,31/12/2025 09:45,8,2/0,TCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,28242,,08/01/2026 12:45,RS,,TCDX,895.00EUR,,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,ACCESS,
,5006975,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"6,705.00EUR",,,
,"Knox, Dominic, Mr ",,31/12/2025 21:45,3,1/0,KGSP,CORL25,Siemens Gamesa,PRMF,,
,,,,,,,,,,,
,30017,,03/01/2026 20:45,RS,,KGSP,679.00EUR,,GDS,"CRE25, DRI",
,,,,,,,,,,,
,5008400,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"2,037.00EUR",,,
,"Kowalska, Wisława, Ms ",,31/12/2025 13:00,4,1/0,TCDX,BAREX,,CORN,,
,,,,,,,,,,,
,29209,,04/01/2026 19:30,RS,,TCDX,895.00EUR,,OTH,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007450,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,385.00EUR",,,
,"Lejeune, Vernon, Dear Dr ",,31/12/2025 22:15,10,1/0,KGDX,RACK,Volkswagen AG,PRMF,,
,,,,,,,,,,,
,29364,,10/01/2026 20:30,RS,,KGDX,977.90EUR,,SIT,,
,,,,,,,,,,,
,5007821,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"8,978.90EUR",,,
,"Majewska, Weronika, Mrs ",,31/12/2025 23:45,1,1/0,KGDX,OTA1,ABN Amro HQ,CORL,PLA,TM
,,,,,,,,,,,
,29640,,01/01/2026 11:45,RS,,KGDX,670.00EUR,,CRS,,
,,,,,,,,,,,
,5007974,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,670.00EUR,,,
,"Paulet, Flordelis, Ms ",,31/12/2025 12:45,8,1/0,KGST,DAY,Amazon Switzerland,CORL,BAL,
,,,,,,,,,,,
,29632,,08/01/2026 11:00,RS,,KGST,968.00EUR,,IBE,,
,,,,,,,,,,,
,5008071,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"7,128.00EUR",,,
,"Pereira, Igor, Mr ",,31/12/2025 09:30,2,1/0,KCST,BAREX,,CORG,,
,,,,,,,,,,,
,29969,,02/01/2026 08:00,RS,,KCST,"1,335.00EUR",,OTH,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008544,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,565.00EUR",,,
,"Rocheleau, Aya, Dear Dr ",EXE,31/12/2025 22:00,6,1/0,KCST,BAREX,,CORN,,
,,,,,,,,,,,
,28528,,06/01/2026 10:00,RS,,KCST,"1,335.00EUR",,GDS,"AID, AIP, BFC, EXE",
,,,,,,,,,,SOFB,
,5007063,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"7,485.00EUR",,,
,"Shepherd, Rhys, Mr ",,31/12/2025 19:30,2,2/0,KGSP,BARAD,,FIT1,BAL,
,,,,,,,,,,,
,29347,,02/01/2026 17:00,RS,,KGSP,650.93EUR,,IBE,,
,,,,,,,,,,,
,5007740,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"1,242.68EUR",,,
,"Shervashidze, Kaypa, Mrs ",,31/12/2025 21:30,7,1/0,KGDX,CORL25,Grupo ACS,CORN,,
,,,,,,,,,,,
,29522,,07/01/2026 19:00,RS,,KGDX,679.00EUR,,SIT,"CRE25, DRI",
,,,,,,,,,,,
,5007665,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"4,753.00EUR",,,
,"Sigtryggsdóttir, Þórhildur, Ms ",,31/12/2025 19:15,2,1/0,KGST,BAR00,Exxon Mobil,CORN,PVIEW,
,,,,,,,,,,,
,29070,,02/01/2026 12:30,RS,,KGST,"1,087.90EUR",,CRS,,
,,,,,,,,,,,
,5007492,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"2,076.90EUR",,,
,"Souplet, Roux, Mrs ",,31/12/2025 16:45,1,2/0,KINGR,BAR10,,CORL,,
,,,,,,,,,,,
,27877,,01/01/2026 17:45,RS,,KINGR,631.20EUR,,SYN,BFE,
,,,,,,,,,,,
,5006233,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,631.20EUR,,,
,"Sultygov, Albek, Mr ",,31/12/2025 20:45,4,1/0,KGDX,BARAD,ABN Amro HQ,FIT1,SAF,TM
,,,,,,,,,,,
,29524,,04/01/2026 11:45,RS,,KGDX,650.93EUR,,GDS,,
,,,,,,,,,,,
,5008092,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"2,726.18EUR",,,
,"Sultygov, Bakar, Mr ",,31/12/2025 19:45,7,2/0,TWDX,RACK,,FIT1,,
,,,,,,,,,,,
,28407,,07/01/2026 21:15,RS,,TWDX,977.90EUR,,CRS,,
,,,,,,,,,,,
,5006649,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"6,311.90EUR",,,
,"Sultygov, Khazimat, Ms ",,31/12/2025 21:30,9,2/0,KINGR,RACK,,CORN,SPAB,
,,,,,,,,,,,
,29950,,09/01/2026 19:15,RS,,KINGR,"1,197.90EUR",,SYN,,
,,,,,,,,,,,
,5008189,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"9,909.90EUR",,,
,"Udinesi, Benedetta, Mrs ",,31/12/2025 05:00,10,1/0,KGST,BAR10,Saudi Aramco,PRMF,,
,,,,,,,,,,,
,29231,,10/01/2026 11:15,RS,,KGST,791.20EUR,,CRS,BFE,
,,,,,,,,,,KING,
,5007470,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"8,632.00EUR",,,
,"Uspensky, Spartacus, Mr ",,31/12/2025 12:30,7,2/0,KGSP,CORL25,,PRMF,,
,,,,,,,,,,,
,28757,,07/01/2026 23:30,RS,,KGSP,679.00EUR,,CRS,"CRE25, DRI",
,,,,,,,,,,,
,5007294,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"4,753.00EUR",,,
,"Woźniak, Bratumił, Mr ",,31/12/2025 14:00,9,2/0,KGDX,OPQ,Rolex AG,PRMF,,
,,,,,,,,,,,
,29346,,09/01/2026 08:45,RS,,KGDX,490.00EUR,,IBE,BFC,
,,,,,,,,,,,
,5008096,,HOLD,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"4,410.00EUR",,,
,"Wysocki, Iwan, Mr ",,31/12/2025 07:30,5,1/0,KINGR,OTA1,Banco Bilbao Vizcaya,CORN,,
,,,,,,,,,,,
,30080,,05/01/2026 06:00,RS,,KINGR,670.00EUR,,GDS,,
,,,,,,,,,,,
,5008231,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,690.00EUR",,,
,"Arnold, Charles, Mr ",,01/01/2026 07:15,2,1/0,TCDX,BAREX,,CORN,,
,,,,,,,,,,,
,28754,,03/01/2026 23:00,RS,,TCDX,830.00EUR,,IBE,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007165,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"1,660.00EUR",,,
,"Aucoin, Damiane, Ms ",,01/01/2026 13:00,8,1/0,TWDX,DAY,,PRMF,,
,,,,,,,,,,,
,29487,,09/01/2026 11:15,RS,,TWDX,399.00EUR,,CRO,,
,,,,,,,,,,,
,5007669,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,192.00EUR",,,
,"Cavalcanti, Renan, Mr ",,01/01/2026 20:00,9,02-Jan,A1KB,BAR10,,CORG,,
,,,,,,,,,,,
,29236,,10/01/2026 18:30,RS,,A1KB,791.20EUR,,CRO,BFE,
,,,,,,,,,,,
,5008084,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"7,840.80EUR",,,
,"Chapman, Lauren, Ms ",,01/01/2026 11:30,9,2/0,KCDX,BAREX,,CORL,,
,,,,,,,,,,,
,30098,,10/01/2026 20:30,RS,,KCDX,810.00EUR,,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,POW,
,5008282,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"7,290.00EUR",,,
,"Chouinard, Chantal, Mrs ",,01/01/2026 18:00,3,2/0,KGST,OTA1,,PRMF,QUI,
,,,,,,,,,,,
,30022,,04/01/2026 14:30,RS,,KGST,840.00EUR,,CRS,,
,,,,,,,,,,,
,5008485,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,030.00EUR",,,
,"Donald, Howard, Mr ",,01/01/2026 06:30,3,1/0,KCST,BAREX,Bayerische Motoren Werke (BMW),CORG,,
,,,,,,,,,,,
,27897,,04/01/2026 20:45,RS,,KCST,"1,230.00EUR",,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,SOFL,
,5006325,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"3,690.00EUR",,,
,"Dumoulin, Astolpho, Mr ",,01/01/2026 12:45,4,2/0,KGDX,OPQ,Accenture,FIT1,,
,,,,,,,,,,,
,29465,,05/01/2026 16:45,RS,,KGDX,490.00EUR,,OTH,BFC,
,,,,,,,,,,"UPGR,PLA",
,5007987,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"1,960.00EUR",,,
,"Edwards, Kieran, Mr ",,01/01/2026 17:45,4,1/0,KGDX,BAR10,Telefonica,CORL,,
,,,,,,,,,,,
,29478,,05/01/2026 23:30,RS,,KGDX,631.20EUR,,CRO,BFE,
,,,,,,,,,,UPGR,
,5007853,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"2,844.80EUR",,,
,"Fisher, Sabine, Ms ",,01/01/2026 06:15,9,1/0,KINGR,BAR10,Amazon Switzerland,CORG,,
,,,,,,,,,,,
,28942,,10/01/2026 21:45,RS,,KINGR,631.20EUR,,OTH,BFE,
,,,,,,,,,,SOFB,
,5007348,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"6,160.80EUR",,,
,"Geirmundsson, Samúel, Mr ",COR,01/01/2026 12:15,10,1/0,KGDX,DAY,Adidas GmbH,CORL,,
,,,,,,,,,,,
,29426,,11/01/2026 17:00,RS,,KGDX,399.00EUR,,CRO,,
,,,,,,,,,,,
,5007707,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,990.00EUR",,,
,"Glebova, Lily, Mrs ",,01/01/2026 19:15,6,1/0,KGSP,BARRES,,CORL,,
,,,,,,,,,,,
,29901,,07/01/2026 09:15,RS,,KGSP,729.00EUR,,SYN,,
,,,,,,,,,,,
,5008198,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,374.00EUR",,,
,"Hewlett, Tahlia, Mrs ",,01/01/2026 10:45,9,2/0,KGDX,BAR00,Rolex AG,CORL,BAL2,
,,,,,,,,,,,
,28472,,10/01/2026 13:00,RS,,KGDX,789.00EUR,,HOT,,
,,,,,,,,,,,
,5006804,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"7,701.00EUR",,,
,"Hudson, Zak, Mr ",,01/01/2026 17:15,8,2/0,TCDX,BAREX,,FIT1,,
,,,,,,,,,,,
,29963,,09/01/2026 21:15,RS,,TCDX,830.00EUR,,OTH,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008428,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"6,640.00EUR",,,
,"Jabłońska, Małgorzata, Mrs ",,01/01/2026 07:45,8,2/0,TWSP,BARRES,Exxon Mobil,FIT1,SOFB,
,,,,,,,,,,,
,29882,,09/01/2026 10:00,RS,,TWSP,729.00EUR,,CRS,,
,,,,,,,,,,,
,5008151,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"5,832.00EUR",,,
,"Kapustina, Marya, Dear Dr ",,01/01/2026 05:45,2,1/0,TWDX,BAR00,,CORN,LUG,
,,,,,,,,,,,
,29409,,03/01/2026 08:00,RS,,TWDX,789.00EUR,,IBE,,
,,,,,,,,,,,
,5008112,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"1,778.00EUR",,,
,"Koehler, Mike, Mr ",,01/01/2026 07:45,7,1/0,KCST,BAREX,,CORL,,
,,,,,,,,,,,
,29898,,08/01/2026 17:15,RS,,KCST,"1,230.00EUR",,CRS,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008303,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"8,610.00EUR",,,
,"Korovin, Anton, Mr ",,01/01/2026 23:30,1,1/0,KCST,BAREX,,PRMF,,
,,,,,,,,,,,
,29996,,02/01/2026 23:45,RS,,KCST,"1,230.00EUR",,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008326,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"1,230.00EUR",,,
,"Kozłowska, Beatrycze, Mrs ",,01/01/2026 11:45,3,1/0,KGDX,BARAD,,PRMF,KING,
,,,,,,,,,,,
,28999,,04/01/2026 23:00,RS,,KGDX,591.75EUR,,HOT,,
,,,,,,,,,,,
,5007486,,HOLD,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"2,075.25EUR",,,
,"Król, Aleksander, Mr ",,01/01/2026 07:45,9,2/0,KCST,BAREX,,FIT1,,
,,,,,,,,,,,
,29220,,10/01/2026 12:45,RS,,KCST,"1,230.00EUR",,GDS,"AID, AIP, BFC, EXE",
,,,,,,,,,,BAL2,
,5007435,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"11,070.00EUR",,,
,"Lacasse, Geoffrey, Mr ",,01/01/2026 17:15,4,2/0,TWSP,OTA1,,CORL,,
,,,,,,,,,,,
,28931,,05/01/2026 12:30,RS,,TWSP,670.00EUR,,IBE,,
,,,,,,,,,,,
,5007589,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,020.00EUR",,,
,"Lejeune, Patricia, Mrs ",,01/01/2026 05:30,10,2/0,KGSP,BARRES,Saudi Aramco,PRMF,,
,,,,,,,,,,,
,29923,,11/01/2026 19:00,RS,,KGSP,729.00EUR,,CRO,,
,,,,,,,,,,,
,5008134,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"7,290.00EUR",,,
,"Lucchesi, Michelangelo, Mr ",,01/01/2026 05:45,10,1/0,KGST,DAY,Apple Incorporated Spain,CORN,,TM
,,,,,,,,,,,
,29598,,11/01/2026 07:00,RS,,KGST,880.00EUR,,SYN,,
,,,,,,,,,,,
,5007882,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"8,800.00EUR",,,
,"Melikov, Mali, Ms ",,01/01/2026 05:45,1,1/0,KGSP,OTA1,Amazon Deustchland,CORG,,TM
,,,,,,,,,,,
,28114,,02/01/2026 19:15,RS,,KGSP,670.00EUR,,CRO,,
,,,,,,,,,,,
,5006503,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,670.00EUR,,,
,"Nielsen, Victoria, Ms ",,01/01/2026 14:30,2,1/0,KGDX,BAR10,,CORL,,
,,,,,,,,,,,
,28084,,03/01/2026 20:15,RS,,KGDX,631.20EUR,,GDS,BFE,
,,,,,,,,,,SM,
,5006457,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"1,422.40EUR",,,
